YEAR,SEGMENT_ID,UNIQUEID,F_ID,SPECIES,TAGNUMBER,WEIGHT,LENGTH,KN,OTOLITH,RAYSPINE,SCALE,FTPREFIX,FTNUM,FTMR,CWTYN,DANGLER,SCUTELOC,SCUTENUM,ELHV,ELCOLOR,ERHV,ERCOLOR,OTHER_TAG_INFO
2016.00,2,190206.00,1828658.00,PDSG,4A4571793D,275.00,443.00,1,,,,,,,N,N,L,5,,N,,N,
2017.00,2,196690.00,1878632.00,PDSG,0A1408361B,175.00,421.00,1,,,,,,,N,N,R,3,,N,,N,
2017.00,2,196685.00,1878669.00,PDSG,6C00110218,165.00,385.00,1,,,,,,,N,N,L,3,,N,,N,nl2 removed
2017.00,2,196685.00,1878670.00,PDSG,6C00110237,190.00,417.00,1,,,,,,,N,N,N,,X,Y,X,G,nl2 removed
2017.00,2,196699.00,1878773.00,PDSG,49001A7967,300.00,461.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,2,187592.00,1804797.00,PDSG,6C00110470,375.00,460.00,1,,,,,,,N,N,N,,H,P,V,O,NL2 REMOVED
2017.00,2,196655.00,1878487.00,PDSG,435E727840,3185.00,930.00,1,,,,,,,U,N,N,,,N,X,X,
2017.00,2,196663.00,1878522.00,PDSG,6C00110166,230.00,430.00,1,,,,,,,N,N,N,,H,O,V,G,nl2
2017.00,2,196663.00,1878523.00,PDSG,470574133D,260.00,444.00,1,,,,,,,N,N,L,2,V,P,V,V,
2017.00,2,196664.00,1878526.00,PDSG,6C00110166,265.00,452.00,1,,,,,,,N,N,N,,X,O,V,V,nl2
2017.00,2,196664.00,1878527.00,PDSG,487F644070,265.00,433.00,1,,,,,,,N,N,R,5,,N,,N,
2017.00,2,196664.00,1878528.00,PDSG,4A48762408,410.00,510.00,1,,,,,,,N,N,R,4,,N,,N,
2017.00,2,196671.00,1878572.00,PDSG,6C00110232,355.00,481.00,1,,,,,,,N,N,N,,H,Y,V,U,NL2
2016.00,3,187481.00,1804457.00,PDSG,487F6C2F16,160.00,371.00,1,,,,,,,N,N,L,7,,N,,N,
2016.00,3,187489.00,1804488.00,PDSG,4900277618,195.00,434.00,1,,,,,,,N,N,R,7,,N,,N,
2016.00,3,187489.00,1804489.00,PDSG,4A5B2A6705,140.00,352.00,1,,,,,,,N,N,L,7,,N,,N,
2016.00,3,187488.00,1804492.00,PDSG,4A4A15613A,190.00,402.00,1,,,,,,,N,N,R,6,,N,,N,
2016.00,3,187497.00,1804503.00,PDSG,6C00110432,205.00,402.00,1,,,,,,,N,N,N,,V,O,V,G,l2removed
2016.00,3,187498.00,1804508.00,PDSG,6C00034320,180.00,393.00,1,,,,,,,N,N,L,2,H,O,V,P,
2016.00,3,187500.00,1804515.00,PDSG,6C00110214,155.00,372.00,1,,,,,,,N,N,N,,H,O,V,P,l2removed
2016.00,3,187580.00,1804716.00,PDSG,4866713C14,170.00,388.00,1,,,,,,,N,N,L,2,H,O,V,V,
2016.00,3,186071.00,1798704.00,PDSG,6C00097143,120.00,320.00,1,,,,,,,N,N,L,3,,N,,N,
2016.00,3,186556.00,1800820.00,PDSG,6C00110418,1350.00,726.00,1,,,,,,,N,N,N,,V,O,,N,nl2 removed
2016.00,3,186078.00,1798343.00,PDSG,6C00110200,210.00,425.00,1,,,,,,,N,N,N,,H,K,V,O,nl2 removed
2016.00,3,186080.00,1798354.00,PDSG,6C00110208,160.00,384.00,1,,,,,,,N,N,N,,H,P,V,P,NL2 REMOVED
2016.00,3,192702.00,1852596.00,PDSG,6C00110467,220.00,448.00,1,,,,,,,N,N,N,,H,O,V,R,l2removed
2016.00,3,191633.00,1845336.00,PDSG,4A4A212017,290.00,465.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,3,191637.00,1845342.00,PDSG,435E071C22,1770.00,790.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,3,191638.00,1845349.00,PDSG,6C00110434,355.00,480.00,1,,,,,,,N,N,L,2,H,O,V,Y,
2016.00,3,191638.00,1845350.00,PDSG,6C00110477,435.00,500.00,1,,,,,,,N,N,N,,,N,V,Y,nl2removed
2016.00,3,191661.00,1845384.00,PDSG,44213F4C72,1485.00,744.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,3,192679.00,1852710.00,PDSG,487F1C3D46,185.00,406.00,1,,,,,,,N,N,R,7,,N,,N,
2016.00,3,192726.00,1852797.00,PDSG,6C00110405,200.00,393.00,1,,,,,,,N,N,N,,H,P,V,V,l2removed
2016.00,3,192696.00,1852864.00,PDSG,6C00110463,230.00,418.00,1,,,,,,,N,N,N,,H,P,V,V,l2removed
2016.00,3,192803.00,1853541.00,PDSG,6C00110126,175.00,392.00,1,,,,,,,N,N,R,5,,N,,N,nl2 removed
2016.00,3,190975.00,1840708.00,PDSG,487F50024A,200.00,400.00,1,,,,,,,N,N,R,4,,N,,N,
2016.00,3,192783.00,1853693.00,PDSG,6C00097027,185.00,413.00,1,,,,,,,N,N,L,3,,N,,N,
2016.00,3,192711.00,1852514.00,PDSG,6C00097249,175.00,401.00,1,,,,,,,N,N,L,3,,N,,N,
2016.00,4,185754.00,1796632.00,PDSG,6C00117817,361.00,482.00,1,,,,,,,N,N,L,2,H,R,V,U,
2016.00,4,186333.00,1799576.00,PDSG,4A49070E13,15050.00,1388.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,186336.00,1799594.00,PDSG,4703756974,1780.00,774.00,1,,,,,,,N,N,L,2,V,Y,V,R,
2016.00,4,185761.00,1796677.00,PDSG,6C00117843,957.00,634.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185764.00,1796691.00,PDSG,462364483F,681.00,562.00,1,,,,,,,N,N,N,,,N,V,Y,
2016.00,4,186339.00,1799614.00,PDSG,6C00097674,506.00,531.00,1,,,,,,,N,N,N,,H,R,V,Y,
2016.00,4,185768.00,1796710.00,PDSG,6C00117770,2114.00,812.00,1,,,,,,,Y,N,N,,V,Y,V,R,code 24 implanted
2016.00,4,185777.00,1796766.00,PDSG,435F4B2938,2118.00,824.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185603.00,1795808.00,PDSG,4A46717168,25500.00,1625.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185604.00,1795809.00,PDSG,1F47606357,13500.00,1440.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185780.00,1796808.00,PDSG,6C00117841,542.00,539.00,1,,,,,,,N,N,N,,H,O,V,Y,
2016.00,4,185785.00,1796846.00,PDSG,6C00117864,287.00,453.00,1,,,,,,,N,N,L,2,,N,V,V,
2016.00,4,185785.00,1796847.00,PDSG,435D2D1B1B,2434.00,828.00,1,,,,,,,N,N,N,,V,Y,V,R,code 18 implanted
2016.00,4,186599.00,1800960.00,PDSG,4623642966,808.00,623.00,1,,,,,,,N,N,N,,,N,V,Y,
2016.00,4,186603.00,1800983.00,PDSG,6C00097638,740.00,601.00,1,,,,,,,N,N,N,,V,Y,V,V,
2016.00,4,185921.00,1798045.00,PDSG,6C00117801,304.00,457.00,1,,,,,,,N,N,N,,H,K,V,O,
2016.00,4,185928.00,1798097.00,PDSG,6C00117752,546.00,533.00,1,,,,,,,N,N,N,,H,O,V,U,
2016.00,4,185928.00,1798098.00,PDSG,6C00117810,358.00,472.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185928.00,1798099.00,PDSG,435F193667,572.00,521.00,1,,,,,,,N,N,N,,,N,H,Y,
2016.00,4,185929.00,1798106.00,PDSG,6C00117874,627.00,542.00,1,,,,,,,N,N,N,,H,O,V,Y,
2016.00,4,185617.00,1795848.00,PDSG,6C00117759,2157.00,821.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,185620.00,1795851.00,PDSG,4441774C6E,14500.00,1410.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185642.00,1795873.00,PDSG,7F7D37642C,17500.00,1436.00,1,,,,,,,N,N,N,,,N,,N,RADIO CODE 13 IMPLANTED
2016.00,4,185948.00,1798183.00,PDSG,472149527C,482.00,514.00,1,,,,,,,N,N,R,3,,N,,N,
2016.00,4,184916.00,1790473.00,PDSG,4704681657,266.00,429.00,1,,,,,,,N,N,L,2,H,B,V,V,
2016.00,4,184891.00,1790522.00,PDSG,6C00097675,771.00,613.00,1,,,,,,,N,U,L,2,,N,,N,
2016.00,4,184898.00,1790585.00,PDSG,6C00097653,2643.00,896.00,1,,,,,,,N,N,N,,V,R,V,G,IMPLANTED RADIO CODE 25
2016.00,4,184903.00,1790604.00,PDSG,454B30016B,16200.00,1415.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,185906.00,1797927.00,PDSG,424F192366,3596.00,968.00,1,,,,,,,N,N,N,,,N,,N,code 144 implanted
2016.00,4,185913.00,1797982.00,PDSG,4311671137,135.00,512.00,0,,,,,,,N,N,L,2,,N,,N,
2016.00,4,188747.00,1814415.00,PDSG,470B0E0A2D,190.00,392.00,1,,,,,,,N,N,L,2,H,O,V,V,
2016.00,4,188750.00,1814426.00,SNSG,,,57.00,,,,,,,,,,,,,,,,
2016.00,4,192606.00,1852385.00,PDSG,43695A6C7E,391.00,492.00,1,,,,,,,N,N,R,5,,N,,N,
2016.00,4,192607.00,1852387.00,PDSG,6C00117921,398.00,502.00,1,,,,,,,N,N,N,,V,Y,V,V,
2016.00,4,192611.00,1852393.00,PDSG,487E0B0324,334.00,472.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192611.00,1852394.00,PDSG,6C00117913,398.00,489.00,1,,,,,,,N,N,N,,H,O,V,G,
2016.00,4,192611.00,1852395.00,PDSG,6C00117955,163.00,392.00,1,,,,,,,N,N,N,,V,K,V,P,
2016.00,4,192600.00,1852401.00,PDSG,6C00117945,312.00,454.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192600.00,1852402.00,PDSG,4A483B4F0D,390.00,487.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192602.00,1852405.00,PDSG,471C35440A,236.00,418.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192603.00,1852406.00,PDSG,6C00117965,434.00,502.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192605.00,1852408.00,PDSG,6C00117917,316.00,458.00,1,,,,,,,N,N,N,,V,P,,N,
2016.00,4,192591.00,1852412.00,PDSG,6C00117971,615.00,556.00,1,,,,,,,N,N,N,,H,P,V,O,
2016.00,4,192593.00,1852415.00,PDSG,4A47375C7A,620.00,574.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192580.00,1852421.00,PDSG,4A4A076B43,396.00,448.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192616.00,1852424.00,PDSG,6C00117957,536.00,549.00,1,,,,,,,N,N,R,3,,N,,N,
2016.00,4,192616.00,1852425.00,PDSG,6C00117930,2588.00,844.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,192620.00,1852430.00,PDSG,6C00117861,2002.00,828.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,192620.00,1852431.00,PDSG,442226671C,2330.00,854.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,192589.00,1852435.00,PDSG,6C00117974,1952.00,796.00,1,,,,,,,N,N,N,,V,R,V,G,
2016.00,4,192575.00,1852438.00,PDSG,4624094C53,806.00,606.00,1,,,,,,,N,N,N,,,N,V,Y,
2016.00,4,192576.00,1852440.00,PDSG,6C00117943,380.00,465.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,192577.00,1852442.00,PDSG,6C00117937,3042.00,914.00,1,,,,,,,N,N,L,2,V,Y,V,R,
2016.00,4,192578.00,1852445.00,PDSG,6C00117924,2216.00,833.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,192582.00,1852450.00,PDSG,48687C4216,363.00,471.00,1,,,,,,,N,N,L,2,H,P,,N,
2016.00,4,192583.00,1852453.00,PDSG,6C00117962,244.00,422.00,1,,,,,,,N,N,L,2,H,Y,V,P,
2016.00,4,192584.00,1852454.00,PDSG,6C00117939,263.00,439.00,1,,,,,,,N,N,N,,H,K,V,V,
2016.00,4,192586.00,1852457.00,PDSG,4109605952,2655.00,872.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,192588.00,1852462.00,PDSG,6C00117977,751.00,609.00,1,,,,,,,N,N,R,3,,N,,N,
2016.00,4,192588.00,1852463.00,PDSG,47041C5B47,366.00,486.00,1,,,,,,,N,N,L,2,H,O,V,V,
2016.00,4,192054.00,1848638.00,PDSG,44437E3315,2498.00,868.00,1,,,,,,,N,N,N,,V,Y,V,R,RADIO IMPLANTED
2016.00,4,192072.00,1848665.00,PDSG,487E0B4573,282.00,424.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192021.00,1848671.00,PDSG,48762B1173,366.00,458.00,1,,,,,,,N,N,N,,H,U,V,O,
2016.00,4,192024.00,1848677.00,PDSG,4703756974,1943.00,802.00,1,,,,,,,N,N,L,2,V,Y,V,R,radio implanted code 77
2016.00,4,192074.00,1848689.00,PDSG,6C00117911,198.00,416.00,1,,,,,,,N,N,N,,H,O,V,O,
2016.00,4,192074.00,1848690.00,PDSG,6C00117919,437.00,499.00,1,,,,,,,N,N,N,,V,R,V,G,
2016.00,4,192075.00,1848693.00,PDSG,4A47682B56,306.00,459.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192075.00,1848694.00,PDSG,6C00117978,236.00,423.00,1,,,,,,,N,N,N,,X,Y,V,P,
2016.00,4,192016.00,1848708.00,PDSG,6C00117900,268.00,432.00,1,,,,,,,Y,Y,N,,H,Y,V,V,
2016.00,4,192017.00,1848710.00,PDSG,6C00117964,353.00,482.00,1,,,,,,,N,N,N,,,N,,N,
2016.00,4,192020.00,1848725.00,PDSG,6C00117970,368.00,497.00,1,,,,,,,N,N,R,3,,N,,N,
2016.00,4,192020.00,1848726.00,PDSG,6C00117941,322.00,448.00,1,,,,,,,N,N,N,,H,P,V,V,
2016.00,4,192043.00,1848796.00,PDSG,6C00117926,269.00,436.00,1,,,,,,,N,N,N,,V,B,V,V,
2016.00,4,188775.00,1814286.00,PDSG,471B11087B,210.00,404.00,1,,,,,,,N,N,L,2,H,Y,V,V,
2016.00,4,192387.00,1851031.00,PDSG,6C00117876,302.00,652.00,0,,,,,,,N,N,N,,H,K,V,V,
2016.00,4,192354.00,1851052.00,PDSG,424F0C7121,5082.00,1085.00,1,,,,,,,N,N,N,,,N,,N,CODE 79 IMPLANTED 149.620
2016.00,4,192354.00,1851053.00,PDSG,486A691F6D,366.00,492.00,1,,,,,,,N,N,L,2,H,U,V,V,
2016.00,4,192354.00,1851054.00,PDSG,6C00117862,340.00,492.00,1,,,,,,,N,N,N,,H,Y,V,P,
2016.00,4,190235.00,1828780.00,PDSG,6C00097736,261.00,426.00,1,,,,,,,N,N,L,2,X,B,V,G,
2016.00,4,192371.00,1851102.00,PDSG,6C00117912,2812.00,888.00,1,,,,,,,N,N,N,,,N,V,X,
2016.00,4,192376.00,1851121.00,PDSG,6C00111652,206.00,418.00,1,,,,,,,N,N,L,3,,N,,N,
2016.00,4,190237.00,1828803.00,SNSG,,,42.00,,,,,,,,,,,,,,,,
2016.00,4,192924.00,1854037.00,PDSG,6C00117949,195.00,406.00,1,,,,,,,N,N,L,2,V,Y,V,G,
2016.00,4,192924.00,1854038.00,PDSG,6C00110446,225.00,429.00,1,,,,,,,N,N,N,,H,K,V,P,L2REMOVED
2016.00,4,192925.00,1854043.00,PDSG,6C00110474,650.00,575.00,1,,,,,,,N,N,R,3,,N,,N,L2REMOVED
2016.00,4,192927.00,1854048.00,PDSG,6C00110431,265.00,423.00,1,,,,,,,N,N,N,,H,P,V,G,L2REMOVED
2016.00,4,192927.00,1854049.00,PDSG,4728171A1C,220.00,415.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192933.00,1854055.00,PDSG,6C00110443,270.00,450.00,1,,,,,,,N,N,N,,H,P,V,V,l2removed
2016.00,4,192933.00,1854056.00,PDSG,4864532D4E,775.00,613.00,1,,,,,,,N,N,L,2,H,O,V,Y,
2016.00,4,192933.00,1854057.00,PDSG,6C00110368,210.00,418.00,1,,,,,,,N,N,N,,H,Y,V,P,l2removed
2016.00,4,192934.00,1854059.00,PDSG,470568485C,390.00,503.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192934.00,1854060.00,PDSG,4422720B3B,440.00,530.00,1,,,,,,,N,N,L,2,V,O,V,V,
2016.00,4,192934.00,1854061.00,PDSG,4A4A060C20,245.00,451.00,1,,,,,,,N,N,R,5,,N,,N,
2016.00,4,190216.00,1828842.00,PDSG,4443001942,2834.00,909.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,192935.00,1854065.00,PDSG,6C00110429,345.00,470.00,1,,,,,,,N,N,N,,H,Y,V,G,l2removed
2016.00,4,192936.00,1854067.00,PDSG,6C00110401,625.00,545.00,1,,,,,,,N,N,N,,,N,,N,l2removed
2016.00,4,192937.00,1854069.00,PDSG,6C00110378,255.00,445.00,1,,,,,,,N,N,N,,X,O,X,V,l2removed
2016.00,4,192940.00,1854077.00,PDSG,435F30276E,240.00,429.00,1,,,,,,,N,N,R,5,,N,,N,
2016.00,4,192941.00,1854081.00,PDSG,6C00110455,375.00,488.00,1,,,,,,,N,N,N,,H,Y,V,V,l2removed
2016.00,4,192941.00,1854082.00,PDSG,6C00110453,195.00,397.00,1,,,,,,,N,N,N,,H,O,V,G,l2removed
2016.00,4,192943.00,1854086.00,PDSG,6C00110457,280.00,443.00,1,,,,,,,N,N,N,,V,Y,V,G,l2removed
2016.00,4,192943.00,1854087.00,PDSG,6C00110138,305.00,456.00,1,,,,,,,N,N,L,2,H,B,V,V,
2016.00,4,192944.00,1854109.00,PDSG,471910451E,330.00,463.00,1,,,,,,,N,N,L,4,,N,,N,
2016.00,4,192944.00,1854110.00,PDSG,6C00110364,210.00,406.00,1,,,,,,,N,N,N,,V,Y,V,G,l2removed
2016.00,4,190254.00,1828897.00,SNSG,,,47.00,,,,,,,,,,,,,,,,
2016.00,4,190254.00,1828898.00,SNSG,,,47.00,,,,,,,,,,,,,,,,
2016.00,4,190254.00,1828916.00,SNSG,,,29.00,,,,,,,,,,,,,,,,
2016.00,4,192947.00,1854120.00,PDSG,47042D3845,310.00,464.00,1,,,,,,,N,N,N,,X,P,X,V,
2016.00,4,192947.00,1854121.00,PDSG,6C00110423,305.00,458.00,1,,,,,,,N,N,N,,X,O,V,U,l2removed
2016.00,4,192947.00,1854122.00,PDSG,4626284542,305.00,451.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192947.00,1854123.00,PDSG,48770F0346,250.00,401.00,1,,,,,,,N,N,L,2,V,O,V,O,
2016.00,4,192949.00,1854126.00,PDSG,6C00110466,235.00,425.00,1,,,,,,,N,N,N,,H,U,V,U,l2removed
2016.00,4,192952.00,1854132.00,PDSG,44257D0700,2990.00,918.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,192953.00,1854135.00,PDSG,6C00110362,365.00,478.00,1,,,,,,,N,N,L,4,,N,,N,l2removed
2016.00,4,192953.00,1854136.00,PDSG,4A491E0812,250.00,426.00,1,,,,,,,N,N,L,2,H,O,V,G,
2016.00,4,192944.00,1854111.00,PDSG,4A47535D23,155.00,380.00,1,,,,,,,N,N,L,7,,N,,N,
2016.00,4,190254.00,1828965.00,SNSG,,,35.00,,,,,,,,,,,,,,,,
2016.00,4,190225.00,1828986.00,SNSG,,,33.00,,,,,,,,,,,,,,,,
2016.00,4,190227.00,1829000.00,SNSG,,,36.00,,,,,,,,,,,,,,,,
2016.00,4,190229.00,1829086.00,SNSG,,,50.00,,,,,,,,,,,,,,,,
2016.00,4,190230.00,1829109.00,PDSG,6C00097621,354.00,472.00,1,,,,,,,N,N,N,,V,O,V,G,
2016.00,4,190231.00,1829125.00,SNSG,,,48.00,,,,,,,,,,,,,,,,
2016.00,4,190231.00,1829126.00,SNSG,,,43.00,,,,,,,,,,,,,,,,
2016.00,4,190232.00,1829127.00,SNSG,,,43.00,,,,,,,,,,,,,,,,
2016.00,4,190208.00,1829212.00,SNSG,,,36.00,,,,,,,,,,,,,,,,
2016.00,4,190210.00,1829229.00,SNSG,,,36.00,,,,,,,,,,,,,,,,
2016.00,4,190211.00,1829239.00,SNSG,,,27.00,,,,,,,,,,,,,,,,
2016.00,4,190211.00,1829240.00,SNSG,,,38.00,,,,,,,,,,,,,,,,
2016.00,4,190892.00,1840384.00,PDSG,6C00117933,2182.00,846.00,1,,,,,,,N,N,N,,V,Y,V,R,
2016.00,4,192339.00,1850823.00,PDSG,6C00117902,390.00,482.00,1,,,,,,,N,N,L,5,,N,,N,
2016.00,4,192341.00,1850913.00,PDSG,486A63352C,362.00,476.00,1,,,,,,,N,N,L,2,H,Y,V,Y,
